Date,Bengaluru,Delhi,Hyderabad
2018-02-15,59.31,173.59,118.54
2018-02-16,53.91,219.11,116.94
2018-02-17,70.68,244.27,121.32
2018-02-18,64.77,234.67,126.08
2018-02-19,62.32,315.75,112.55
2018-02-20,66.18,317.53,101.62
2018-02-21,79.69,346.46,118.2
2018-02-22,64.91,313.47,131.06
2018-02-23,71.15,333.99,125.93
2018-02-24,56.42,349.29,112.47
2018-02-25,33.81,222.46,105.66
2018-02-26,25.9,156.72,119.73
2018-02-27,30.13,178.51,123.59
2018-02-28,56.03,279.26,139.53
2018-03-01,99.47,256.86,127.04
2018-03-02,116.47,253.32,120.49
2018-03-03,121.49,205.92,122
2018-03-04,128.58,182.26,116.74
2018-03-05,94.71,164.74,111.76
2018-03-06,109.19,163.52,104.93
2018-03-07,114.17,178.53,101.89
2018-03-08,125.36,283.57,114.59
2018-03-09,133.95,274.89,120.43
2018-03-10,143.26,171.69,133.3
2018-03-11,123.62,183.74,108.18
2018-03-12,105.52,223.67,96.19
2018-03-13,63.71,245.66,87.82
2018-03-14,85.74,328.98,101.24
2018-03-15,54.8,314.72,103.11
2018-03-16,33.54,256.67,134.44
2018-03-17,33.85,170.16,78.33
2018-03-18,33.52,173.07,71.63
2018-03-19,57.31,197.13,92.55
2018-03-20,70.07,249.2,102.17
2018-03-21,98.38,280.94,118.46
2018-03-22,176.51,176.02,139.34
2018-03-23,136.77,151.45,146.7
2018-03-24,141.77,186.62,149.81
2018-03-25,113.42,190.95,150.7
2018-03-26,94.3,198.67,126.86
2018-03-27,72.36,256.4,124.78
2018-03-28,101.135,280.25,113.07
2018-03-29,129.91,217.49,135.91
2018-03-30,126.18,241.13,114.81
2018-03-31,95.37,292.49,112.36
2018-04-01,112.89,199.8,89.8
2018-04-02,96.92,241.96,75.96
2018-04-03,100.63,252.21,97.31
2018-04-04,106.41,262.69,91.88
2018-04-05,114.6,337.64,86.82
2018-04-06,108.71,231.2,103.01
2018-04-07,109.09,132.97,79.03
2018-04-08,94.63,137.52,61.55
2018-04-09,67.05,123.41,91.86
2018-04-10,64.9,251.98,97.46
2018-04-11,63.33,125.53,72.09
2018-04-12,64.13,109.03,79.04
2018-04-13,57.17,196.02,66.21
2018-04-14,60.06,235.01,58.22
2018-04-15,57.83,258.52,63.54
2018-04-16,55,334.05,103.38
2018-04-17,61.9,260.67,90.45
2018-04-18,69.46,256.18,92.25
2018-04-19,79.33,282.24,118.3
2018-04-20,60.94,385.04,120.61
2018-04-21,84.17,480.07,139.55
2018-04-22,75.88,208.53,110.65
2018-04-23,60.47,219.94,80.06
2018-04-24,77.31,274.05,95.19
2018-04-25,58.32,313.41,86.24
2018-04-26,61.07,397.1,92.67
2018-04-27,63.83,336.49,99.47
2018-04-28,66.58,316.52,86.22
2018-04-29,69.33,259.12,95.6
2018-04-30,72.08,214.51,106.84
2018-05-01,74.84,165.91,133.09
2018-05-02,77.59,189.28,95.82
2018-05-03,80.34,153.75,86.12
2018-05-04,83.1,123.82,48.18
2018-05-05,85.85,196.76,68.37
2018-05-06,88.6,290.63,81.65
2018-05-07,91.36,302.1,93.43
2018-05-08,94.11,177.71,110.15
2018-05-09,96.86,177.76,101.87
2018-05-10,99.61,215.34,74.91
2018-05-11,102.37,315.8,80.97
2018-05-12,105.12,353.5,81.54
2018-05-13,107.87,236.35,76.51
2018-05-14,110.63,137.39,67.84
2018-05-15,113.38,177.03,46.54
2018-05-16,116.13,221.21,90.88
2018-05-17,118.88,288.92,103.29
2018-05-18,124.39,241.99,88.67
2018-05-19,94.78,284.44,136.63
2018-05-20,66.81,228.61,106.87
2018-05-21,58.23,209.67,137.04
2018-05-22,71.88,243.14,108.84
2018-05-23,84.46,324,122.16
2018-05-24,65.64,298.07,93.09
2018-05-25,64.28,249.82,108.46
2018-05-26,43.62,263.49,67.93
2018-05-27,52.37,314.96,69.28
2018-05-28,48.38,290.96,76.56
2018-05-29,27.94,312.18,91.62
2018-05-30,38.75,295.94,80.59
2018-05-31,41.38,235.22,83.68
2018-06-01,60.8,233.97,77.09
2018-06-02,54.34,154.66,63.45
2018-06-03,29.26,140.21,73.89
2018-06-04,28.86,179.31,64.8
2018-06-05,22.18,152.57,67.42
2018-06-06,27.69,159.45,62.83
2018-06-07,31.71,165.33,25.82
2018-06-08,21.36,196.34,33.87
2018-06-09,26.98,136.75,42.57
2018-06-10,28.7,141.09,32.8
2018-06-11,34.25,218.14,55.94
2018-06-12,48.19,497.9,88.06
2018-06-13,48.59,743.98,89.47
2018-06-14,35.64,761.91,92.58
2018-06-15,33.51,613.34,86.25
2018-06-16,43.59,516.85,63.65
2018-06-17,42.66,289.18,66.18
2018-06-18,100.6,166.71,48.97
2018-06-19,100.12,152.06,29.85
2018-06-20,73.69,201.22,26.79
2018-06-21,76.66,273.16,33.35
2018-06-22,79.08,247.55,45.55
2018-06-23,55.83,242.29,34.46
2018-06-24,73.73,163.89,37.87
2018-06-25,70.62,155.61,41.38
2018-06-26,56.97,92.12,41.54
2018-06-27,42.25,111.4,46.04
2018-06-28,34.44,71.42,50.36
2018-06-29,44.86,84.12,57.2
2018-06-30,65.8,103.75,57.03
2018-07-01,64.03,97.81,39.49
2018-07-02,55.13,122.23,42.25
2018-07-03,62.68,109.65,41.16
2018-07-04,71.37,113.75,58.87
2018-07-05,74.52,133.6,40.07
2018-07-06,58.91,163.19,48.6
2018-07-07,38.84,158.13,51.43
2018-07-08,42.49,179.05,45.9
2018-07-09,56.44,169.96,36.37
2018-07-10,52.63,112.45,44.03
2018-07-11,53.13,102.39,45.74
2018-07-12,51.19,127.08,16.09
2018-07-13,47.82,61.6,26.26
2018-07-14,60.54,70.35,40.97
2018-07-15,63.33,78.42,39.28
2018-07-16,47.19,83.03,20
2018-07-17,53.45,84.78,26.59
2018-07-18,56.14,97.11,36.01
2018-07-19,43.02,83.54,38.34
2018-07-20,41.94,80.33,32.59
2018-07-21,52.67,95.93,51.45
2018-07-22,67.89,47.63,54.49
2018-07-23,51.56,69.73,53.6
2018-07-24,50.14,94.8,44.78
2018-07-25,44.75,80.13,53.74
2018-07-26,55.87,57.98,42.62
2018-07-27,64.9,35.79,43.56
2018-07-28,64.54,67.2,55.98
2018-07-29,57.53,116.89,74.2
2018-07-30,65.5,122.86,84.97
2018-07-31,67.39,165.4,66.84
2018-08-01,68.6,195.09,75.6
2018-08-02,68.41,268.29,76.03
2018-08-03,71.35,248.8,101.48
2018-08-04,94.02,264.97,76.16
2018-08-05,81.19,246.89,55.76
2018-08-06,66.31,131.76,71.45
2018-08-07,59.59,110.19,55.72
2018-08-08,43.88,76.04,46.48
2018-08-09,55.07,91.15,37.67
2018-08-10,59.31,115.63,41.09
2018-08-11,46.24,98.26,29.84
2018-08-12,35.22,83.58,28.35
2018-08-13,39.72,106.03,24.68
2018-08-14,31.87,126.7,46.65
2018-08-15,36.24,117.21,68.81
2018-08-16,38.58,88.06,10.87
2018-08-17,52.28,80.82,46.57
2018-08-18,65.73,77.4,41.14
2018-08-19,52.97,96,34.82
2018-08-20,67.41,125.39,31.47
2018-08-21,77.55,77.56,23.02
2018-08-22,74,74.91,29.62
2018-08-23,52.66,73.3,38.94
2018-08-24,60.28,88,56.52
2018-08-25,75.89,82.69,55.37
2018-08-26,60.03,77.21,45.18
2018-08-27,64.68,56.62,40.27
2018-08-28,63.28,58.76,45.72
2018-08-29,49.08,65.58,64.42
2018-08-30,66.23,95.47,82.96
2018-08-31,57.18,152.29,75.11
2018-09-01,78.59,110.35,71.26
2018-09-02,69.2,80.4,47.92
2018-09-03,73.19,72.38,39.37
2018-09-04,81.02,105.56,66.88
2018-09-05,77.04,101.8,87.39
2018-09-06,71.56,138.52,83.21
2018-09-07,66.34,87.03,79.97
2018-09-08,47.45,72.63,55.67
2018-09-09,56.66,56.92,91.9
2018-09-10,72.52,83.98,94.94
2018-09-11,79.46,78.11,66.55
2018-09-12,73.31,103.27,53.38
2018-09-13,76.26,115.88,77.55
2018-09-14,76.6,113.92,85.86
2018-09-15,56.2,125.81,89.53
2018-09-16,55.34,131.43,89.05
2018-09-17,49.62,157.59,61.65
2018-09-18,64.1,165.11,63.97
2018-09-19,69.15,175.12,84.63
2018-09-20,74.65,185.23,97.71
2018-09-21,81.33,112.51,78.9
2018-09-22,80.93,46.36,58.1
2018-09-23,75.04,54.77,62.49
2018-09-24,56.12,35.84,68.68
2018-09-25,63.24,49.41,86.95
2018-09-26,76.66,108.67,107.41
2018-09-27,72.24,171.42,78.57
2018-09-28,77.69,214.66,99.06
2018-09-29,64.18,230.62,107.62
2018-09-30,62.82,155.26,129.23
2018-10-01,66.61,177.08,122.8
2018-10-02,51.79,185.21,80.37
2018-10-03,52.6,177.17,79
2018-10-04,46.9,235.14,85.85
2018-10-05,40.41,270.61,103.38
2018-10-06,42,199.37,136.25
2018-10-07,69.05,221.03,139.95
2018-10-08,96.04,279.23,144.33
2018-10-09,91.63,263.89,146.71
2018-10-10,109.21,256.14,150.65
2018-10-11,147.26,208.39,148.36
2018-10-12,151.57,172.04,132.24
2018-10-13,158.69,264.13,130.27
2018-10-14,100.3,217.12,111.45
2018-10-15,88.52,280.24,107.55
2018-10-16,94.07,342.5,90.41
2018-10-17,51.83,323.31,53.89
2018-10-18,55.23,337.98,57.72
2018-10-19,61.94,313.84,80.57
2018-10-20,86.65,328.13,128.56
2018-10-21,122.86,294.36,131.27
2018-10-22,132.8,274.68,144.33
2018-10-23,123.18,302.16,139.91
2018-10-24,111.41,384.46,125.13
2018-10-25,121.55,368.33,124.74
2018-10-26,123.42,396.01,123.62
2018-10-27,112.7,408.94,145.22
2018-10-28,96.1,375.23,134.88
2018-10-29,101.84,427.06,130.4
2018-10-30,109.55,459.45,121.32
2018-10-31,106.07,405.94,120.91
2018-11-01,66.49,416.97,109.17
2018-11-02,56.53,373.61,76.12
2018-11-03,63.23,298.85,59.8
2018-11-04,77.72,179.85,48.95
2018-11-05,90.86,500.01,68.87
2018-11-06,116.55,312.87,94.97
2018-11-07,107.56,300.54,103.16
2018-11-08,108.02,509.73,109.93
2018-11-09,98.45,440.76,125.75
2018-11-10,88.44,447.4,136.07
2018-11-11,101.12,425.12,129.81
2018-11-12,120.24,464.28,148.54
2018-11-13,130.84,441.43,150.01
2018-11-14,143.53,225.77,159.01
2018-11-15,105.52,175.95,140.37
2018-11-16,59.99,230.56,115.57
2018-11-17,96.6,255.42,59.77
2018-11-18,83.45,313.67,50.4
2018-11-19,61.66,319.12,61.77
2018-11-20,67.23,374.77,112.36
2018-11-21,71.11,349.54,139.98
2018-11-22,39.52,292.92,137.89
2018-11-23,50.78,331.22,147.11
2018-11-24,93.05,223.33,155.13
2018-11-25,106.53,268.83,149.67
2018-11-26,119.7,362.41,150.75
2018-11-27,137.9,378.23,152.94
2018-11-28,112.2,356.12,155.16
2018-11-29,86.54,363.12,153.14
2018-11-30,79.92,340.56,145.96
2018-12-01,83.54,297.66,147.06
2018-12-02,68.25,331.5,145.82
2018-12-03,69.43,356.2,145.29
2018-12-04,74.27,393.74,147.65
2018-12-05,64.2,345.32,118.13
2018-12-06,81.35,395.33,111.3
2018-12-07,150.02,353.86,92.8
2018-12-08,98.66,358.72,122.93
2018-12-09,110.14,388.23,131.2
2018-12-10,137.41,453.77,132.25
2018-12-11,177.97,461.98,145.09
2018-12-12,142.62,327.23,134.84
2018-12-13,103.83,162.44,123.7
2018-12-14,84.47,196.85,119.8
2018-12-15,81.06,211.8,134.26
2018-12-16,109.67,252.01,149.24
2018-12-17,140.52,322.5,95.42
2018-12-18,181.41,339.38,34.08
2018-12-19,132.37,351.7,62.25
2018-12-20,105.66,429.33,93.15
2018-12-21,106.8,403.18,107.95
2018-12-22,93.24,502.83,139.71
2018-12-23,86.46,560.68,138.69
2018-12-24,85.68,546.59,154.46
2018-12-25,102.48,399.37,149.61
2018-12-26,100.47,366.1,119.15
2018-12-27,107.8,453.45,134.16
2018-12-28,111.01,387.84,138.43
2018-12-29,106.31,399.14,140.93
2018-12-30,100.07,503.99,142.41
2018-12-31,107.44,494.51,136.91
2019-01-01,107.76,461.02,143.42
2019-01-02,92.47,515.72,153.99
2019-01-03,96.42,519.34,146.69
2019-01-04,105.52,388.79,158.34
2019-01-05,99.1,411.49,140.13
2019-01-06,105.51,254.66,153.78
2019-01-07,116.5,283.88,157.71
2019-01-08,106.76,242.02,165.61
2019-01-09,113.27,238.94,164.93
2019-01-10,108.49,278.87,161.34
2019-01-11,111.13,432.2,143.85
2019-01-12,121.91,465.89,146
2019-01-13,99.59,403.32,120.93
2019-01-14,110.39,173.94,132.9
2019-01-15,86.88,229.1,145.13
2019-01-16,99.49,424.07,150.46
2019-01-17,120.55,519.49,156.89
2019-01-18,118.41,364.61,154.77
2019-01-19,102.34,402.21,159.37
2019-01-20,82.67,478.43,148.16
2019-01-21,99.24,289.4,129.97
2019-01-22,136.15,72.61,93.9
2019-01-23,121.85,211.71,106.81
2019-01-24,109.76,218.93,112.52
2019-01-25,87.96,136.43,80.89
2019-01-26,101.59,169.32,62.98
2019-01-27,87.62,217.45,74.22
2019-01-28,73.19,212.42,104.9
2019-01-29,62.01,235.85,114.66
2019-01-30,92.31,334.21,118.88
2019-01-31,94.63,335.07,121.95
2019-02-01,99.62,265.65,115.34
2019-02-02,96.87,266.3,117.17
2019-02-03,87.56,209.41,107.15
2019-02-04,70.95,248.49,115.35
2019-02-05,82.59,408.32,120.36
2019-02-06,115.27,270.92,130.57
2019-02-07,117.29,107.83,110.45
2019-02-08,108.3,156.6,133.58
2019-02-09,123.42,165.94,157.47
2019-02-10,93.13,255.47,162.47
2019-02-11,78.53,304.98,119.01
2019-02-12,88.06,357.36,119.19
2019-02-13,92.86,336.99,137.41
2019-02-14,84.87,237.08,128.51
2019-02-15,92.27,194.76,86.91
2019-02-16,98.49,181.64,103.18
2019-02-17,108.7,180.93,94.43
2019-02-18,104.51,215.05,136.33
2019-02-19,98.5,229.75,113.45
2019-02-20,79.97,185.4,79.95
2019-02-21,92.9,178.07,89.56
2019-02-22,101.4,147.86,107.69
2019-02-23,113.03,115.07,133.36
2019-02-24,97.06,161.89,104.32
2019-02-25,96.15,172.59,119.44
2019-02-26,101.91,120.3,136.81
2019-02-27,94.03,91.52,126.1
2019-02-28,111.32,180.46,127.96
2019-03-01,125.3,181.26,129.12
2019-03-02,95.38,182.54,72.5
2019-03-03,92.75,105.16,68.92
2019-03-04,100.96,180.84,95.61
2019-03-05,112.83,135.4,160.94
2019-03-06,116.45,168.32,160.54
2019-03-07,158.87,212.7,166.23
2019-03-08,141.49,199.28,154.68
2019-03-09,114.17,162.18,118.38
2019-03-10,85.59,163.8,108.68
2019-03-11,79.55,205.43,95.23
2019-03-12,108.89,129.4,105.87
2019-03-13,120.17,231.19,112.41
2019-03-14,116.74,217.74,110.33
2019-03-15,110.46,144.35,121.89
2019-03-16,118.8,140.6,110
2019-03-17,104.35,184.01,95.18
2019-03-18,99.47,202.01,102.44
2019-03-19,94.23,227.07,74.26
2019-03-20,91.98,237.61,94.54
2019-03-21,94.78,197.17,90.51
2019-03-22,96.39,119.87,86.97
2019-03-23,102.51,138.56,111.13
2019-03-24,93.06,133.47,118.89
2019-03-25,105.51,150.34,117.86
2019-03-26,112.26,169.16,123.44
2019-03-27,121.14,186.49,115.06
2019-03-28,129.96,260.26,136.99
2019-03-29,129.31,257.27,146.25
2019-03-30,123.2,238.99,140.7
2019-03-31,107.85,177.53,137.92
2019-04-01,110.5,170.14,115.93
2019-04-02,123.38,211.47,119.4
2019-04-03,120.13,206.04,116.3
2019-04-04,108.63,270.77,104.02
2019-04-05,108.25,281.53,84.24
2019-04-06,112.08,303.71,80.2
2019-04-07,103.64,355.22,79.56
2019-04-08,94.86,280.23,85.8
2019-04-09,90.8,225.5,99.2
2019-04-10,107.04,247.53,105.98
2019-04-11,113.7,204.19,73.52
2019-04-12,109,217,98.89
2019-04-13,98.37,175.93,82.36
2019-04-14,89.76,168.11,102.32
2019-04-15,92.14,187.59,97.74
2019-04-16,94.39,186.75,111.85
2019-04-17,97.64,62.49,87.34
2019-04-18,72.34,91.55,109.83
2019-04-19,63.83,155.39,67.2
2019-04-20,73.46,193.76,60.36
2019-04-21,69.39,219.06,59.67
2019-04-22,92.48,255.31,61.15
2019-04-23,77.31,277.28,83.12
2019-04-24,85.7,262.58,81.6
2019-04-25,109.49,274.39,98.68
2019-04-26,109.42,244.21,116.45
2019-04-27,123.11,301.82,134.45
2019-04-28,117.36,285.73,112.97
2019-04-29,108.27,274.83,98.53
2019-04-30,94.01,284.13,101.79
2019-05-01,74.84,323.97,111.66
2019-05-02,102.47,282.83,141.06
2019-05-03,95.06,149.1,146.83
2019-05-04,116.59,196.87,123.19
2019-05-05,110.84,249.97,126.81
2019-05-06,106.65,295.84,135.12
2019-05-07,87.52,378.89,152.18
2019-05-08,81.91,415.23,152.96
2019-05-09,94.86,414.7,139.1
2019-05-10,93.68,320.44,139.05
2019-05-11,93.84,289.05,136.64
2019-05-12,93.08,503.28,95.62
2019-05-13,86.2,351.28,108.46
2019-05-14,88.8,124.28,105.12
2019-05-15,81.23,191.04,110.8
2019-05-16,93.74,218.38,102.17
2019-05-17,91.59,316.4,123.1
2019-05-18,118.1,106.51,144.54
2019-05-19,101.63,162.83,158.9
2019-05-20,105.55,218.72,124.74
