,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2017-02-09,,Poor,,Severe,,,,,,,,,,,Poor,,,,Very Poor,,Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,Moderate,,,Moderate,,,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,,Poor,,Very Poor,,,,,,,,,,,Very Poor,,,,Poor,,Very Poor,,Very Poor,,Good,Moderate,Satisfactory,,,,,,,,,,,Moderate,,,Poor,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,,Moderate,,Severe,,,,,,,,,,,Poor,,,,Poor,,Very Poor,,Very Poor,,Moderate,Satisfactory,Satisfactory,,,,,,,,,,,Moderate,,,Moderate,,,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-12,,Moderate,,Severe,,,,,,,,,,,Poor,,,,Poor,,Very Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,Satisfactory,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13,,Moderate,,Poor,,,,,,,,,,,Poor,,,,Poor,,Very Poor,,Very Poor,,,Satisfactory,Good,,,,,,,,,,,,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-14,,Moderate,,Very Poor,,,,,,,,,,,Poor,,,,Very Poor,,Very Poor,,Very Poor,,,Moderate,Satisfactory,,,,,,,,,,,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-15,,Moderate,,Severe,,,,,,,,,,,Very Poor,,,,Poor,,Severe,,Very Poor,,,Moderate,Satisfactory,,,,,,,,,,,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-16,,Poor,,Very Poor,,,,,,,,,,,Poor,,,,Very Poor,,Severe,,Very Poor,,,Moderate,Satisfactory,,,,,,,,,,,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,,Moderate,,Very Poor,,,,,,,,,,,Poor,,,,Poor,,Severe,,Very Poor,,,Moderate,Satisfactory,,,,,,,,,,Poor,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-18,,Moderate,,Very Poor,,,,,,,,,,,Poor,,,,Poor,,Poor,,Poor,,,Moderate,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-19,,Moderate,,Severe,,,,,,,,,,,Moderate,,,,Poor,,Poor,,Poor,,,Moderate,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-20,,Moderate,,Severe,,,,,,,,,,,Moderate,,,,Very Poor,,Poor,,Very Poor,,,Moderate,Satisfactory,,,,,,,,,,Moderate,,,,Moderate,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-21,,Moderate,,Severe,,,,,,,,,,,Poor,,,,Very Poor,,Poor,,Poor,,,Moderate,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,,Moderate,,Very Poor,,,,,,,,,,,Poor,,,,Poor,,Moderate,,Poor,,,Moderate,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-23,,Moderate,,Poor,,,,,,,,,,,Poor,,,,Poor,,Poor,,Poor,,Moderate,Moderate,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-24,,Moderate,Moderate,,,,,,,,,,,,Poor,,,,,,Severe,,,,Satisfactory,Moderate,Satisfactory,,,,,,,,,,Poor,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-25,,Moderate,,,,,,,,,,,,,Moderate,,,,,,Severe,,,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-26,,Moderate,,,,,,,,,,,,,Poor,,,,,,Severe,,Poor,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-27,,Moderate,,Poor,,,,,,,,,,,Poor,,,,Poor,,Severe,,Poor,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Moderate,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,,Moderate,,Severe,,,,,,,,,,,Very Poor,,,,Poor,,,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,Moderate,,Severe,,,,,,,,,,,Very Poor,,,,Very Poor,,Very Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Good,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-02,,Moderate,Very Poor,Very Poor,,,,,,,,,,,Poor,,,,Poor,,Poor,,Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Moderate,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,,Moderate,Poor,Poor,,,,,,,,,,,Moderate,,,,Poor,,Moderate,,Poor,,Moderate,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-04,,Moderate,Poor,Poor,,,,,,,,,,,Moderate,,,,Moderate,,Moderate,,Poor,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-05,,Satisfactory,Very Poor,Poor,,,,,,,,,,,Moderate,,,,Poor,,Poor,,Moderate,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Satisfactory,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-06,,Moderate,Poor,Poor,,,,,,,,,,,Moderate,,,,Moderate,,Moderate,,Moderate,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Satisfactory,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-07,,Moderate,Moderate,Very Poor,,,,,,,,,,,Poor,,,,Poor,,Poor,,Poor,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Satisfactory,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-08,,Moderate,Very Poor,Very Poor,,,,,,,,,,,Very Poor,,,,Poor,,Moderate,,Poor,,Good,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Satisfactory,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-09,,Moderate,Very Poor,Poor,,,,,,,,,,,Severe,,,,Moderate,,Moderate,,Moderate,,Good,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-10,,Satisfactory,Very Poor,,,,,,,,,,,,Very Poor,,,,Moderate,,Moderate,,Satisfactory,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Moderate,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-11,,Moderate,Poor,,,,,,,,,,,,,,,,Moderate,,Satisfactory,,Satisfactory,,Good,,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Very Poor,,,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-12,,Satisfactory,Moderate,Poor,,,,,,,,,,,,,,,Moderate,,Moderate,,Moderate,,Satisfactory,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-13,,Satisfactory,,Poor,,,,,,,,,,,,,,,Moderate,,Moderate,,Moderate,,Good,,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-14,,Moderate,,Very Poor,,,,,,,,,,,,,,,Moderate,,,,Moderate,,Good,Satisfactory,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Good,,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-15,,Moderate,Poor,Severe,,,,,,,,,,,,,,,Poor,,Poor,,Poor,,Good,Satisfactory,Good,,,,Satisfactory,,,,,,Moderate,Satisfactory,,,Satisfactory,,,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-16,,Moderate,,Severe,,,,,,,,,,,,,,,Poor,,Poor,,,,Good,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Satisfactory,Satisfactory,,,Very Poor,,,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-17,,Moderate,Poor,Severe,,,,,,,,,,,,,,,Poor,,Poor,,,,Satisfactory,,Satisfactory,,,,Poor,,,,,,Moderate,Satisfactory,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-18,,Moderate,Very Poor,Very Poor,,,,,,,,,,,,,,,Moderate,,Poor,,Poor,,Moderate,Moderate,Satisfactory,,,,Moderate,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-19,,Moderate,Poor,Severe,,,,,,,,,,,,,,,Poor,,Poor,,Very Poor,,Moderate,Satisfactory,Satisfactory,,,,Moderate,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,,Moderate,Very Poor,Severe,,,,,,,,,,,,,,,Poor,,Poor,,Very Poor,,Satisfactory,,Satisfactory,,,,Moderate,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-21,,Moderate,Moderate,Severe,,,,,,,,,,,,,,,Poor,,Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-22,,Moderate,Poor,Severe,,,,,,,,,,,,,,,Poor,,Poor,,Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-23,,Satisfactory,Poor,Severe,,,,,,,,,,,,,,,,,Poor,,Very Poor,,Satisfactory,Moderate,Satisfactory,,,,Satisfactory,,,,,,Poor,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-24,,Moderate,Very Poor,Severe,,,,,,,,,,,Severe,,,,,,Poor,,Poor,,Satisfactory,Moderate,Poor,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-25,,Moderate,,Very Poor,,,,,,,,,,,Severe,,,,,,Moderate,,Moderate,,Satisfactory,Moderate,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-26,,,,Very Poor,,,,,,,,,,,Very Poor,,,,,,Moderate,,,,Satisfactory,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,Poor,,,,,,,,,,,Severe,,,,,,Moderate,,Satisfactory,,Satisfactory,,Satisfactory,,,,Satisfactory,,,,,,Poor,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,,,Very Poor,Poor,,,,,,,,,,,Severe,,,,,,Poor,,Poor,,Satisfactory,,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-29,,Satisfactory,Poor,Severe,,,,,,,,,,,,,,,,,Poor,,Very Poor,,Satisfactory,,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,,Moderate,Poor,Very Poor,,,,,,,,,,,,,,,,,Moderate,,Poor,,Satisfactory,,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,Moderate,Moderate,Very Poor,,,,,,,,,,,,,,,,,Moderate,,Moderate,,Satisfactory,,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,Moderate,Poor,Severe,,,,,,,,,,,,,,,,,Poor,,Poor,,Moderate,Moderate,Moderate,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02,,Moderate,Poor,Very Poor,,,,,,,,,,,,,,,,,Moderate,,Poor,,Moderate,Moderate,Moderate,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,,Satisfactory,Poor,Poor,,,,,,,,,,,,,,,,,Moderate,,Poor,,Moderate,Moderate,,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,,Moderate,Poor,Very Poor,,,,,,,,,,,,,,,,,Moderate,,Poor,,Moderate,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,,Moderate,Moderate,Poor,,,,,,,,,,,,,,,,,Satisfactory,,Moderate,,Moderate,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,,Moderate,Satisfactory,Poor,,,,,,,,,,,,,,,,,Moderate,,Moderate,,Moderate,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Satisfactory,Satisfactory,,,Satisfactory,,,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,,Moderate,Moderate,Severe,,,,,,,,,,,,,,,,,Very Poor,,Severe,,Moderate,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-08,,Moderate,Poor,Severe,,,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-09,,Satisfactory,Poor,Very Poor,,,,,,,,,,,,,,,,,Moderate,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,,,,Poor,,,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Moderate,Moderate,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-11,,Moderate,Severe,Very Poor,,,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Moderate,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Poor,,,Moderate,,,Poor,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-12,,,Very Poor,Very Poor,,,,,,,,,,,Moderate,,,,Poor,,Very Poor,,Poor,,Satisfactory,Satisfactory,,,,,Satisfactory,,,,,,Moderate,Poor,,,Moderate,,,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13,,,Poor,Severe,,,,,,,,,,,Poor,,,,Very Poor,,Poor,,Very Poor,,,Moderate,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-14,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Very Poor,,Satisfactory,Moderate,Moderate,,,,Satisfactory,,,,,,Moderate,Moderate,,,Satisfactory,,,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-15,,,,Very Poor,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Very Poor,,,Moderate,Moderate,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-16,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Very Poor,,,Moderate,,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-17,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Very Poor,,,Satisfactory,,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-18,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Very Poor,,Severe,,,Satisfactory,Satisfactory,,,,Moderate,,,,,,Poor,Moderate,,,Moderate,,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-19,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Severe,,Moderate,Satisfactory,Satisfactory,,,,Moderate,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Very Poor,,Satisfactory,Satisfactory,Satisfactory,,,,Satisfactory,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-21,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Very Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-22,,,,Severe,,,,,,,,,,,,,,,Very Poor,,Poor,,Severe,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Moderate,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-23,,,,,,,,,,,,,,,,,,,,,Poor,,Severe,Moderate,Good,Satisfactory,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Poor,,,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-24,,,,Severe,,,,,,,,,,,,,,,Poor,,Moderate,,Very Poor,Moderate,Satisfactory,,Satisfactory,,,,,,,,,,Moderate,Moderate,,,Moderate,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-25,,,,Very Poor,,,,,,,,,,,,,,,Poor,,Moderate,,Poor,Moderate,Satisfactory,,Satisfactory,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-26,,,,Very Poor,,,,,,,,,,,,,,,Poor,,Moderate,,Poor,Poor,Satisfactory,,Satisfactory,,,,Good,,,,,,Moderate,Moderate,,,Satisfactory,,,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
