Date,AP001,AP005,BR007,DL002,DL004,DL007,DL008,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL009,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL032,DL037,DL038
2017-07-28,,,,,,,,,,,,,,,,,,,23.69,,8.45,,5.67,19.91,3.18,,1.94,40.74333333333333,,7.41,,,12.09,5.74,10.49,,,6.3,,,7.01,8.14,,,,,,,,,,,,,
2017-07-29,,,,,,,,,,,,,,,,,,,12.65,,2.32,,5.46,20.98,3.3,,2.05,48.94,,11.033333333333331,,,7.55,5.81,10.61,,,6.28,,,9.9,10.99,,,,,,,,,,,,,
2017-07-30,,,,,,,,,,,,,,,,,,,11.6,,1.23,,5.53,25.72,3.28,,2.06,58.03,,14.656666666666666,,,7.53,5.81,10.95,,,6.13,,,8.22,8.16,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,,,,,,28.26,,1.65,,4.75,19.89,2.77,,2.07,44.87,,18.28,,,8.59,1.78,11.28,,,6.31,,,9.07,9.55,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,,27.25,,2.55,6.8,5.98,15.24,1.75,,2.18,66.84,,12.44,,,7.66,6.35,4.23,,,6.04,,,8.62,11.72,,,,,,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,,,,,33.12,,2.45,6.87,20.21,16.51,2.61,,1.9,,,13.76,,,7.08,5.94,3.37,,,6.11,,,8.59,16.19,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,,,,,28.58,,2.61,6.88,34.47,20.37,1.92,,1.88,,,10.94,,,7.44,5.73,3.07,,,6.13,,,10.46,15.93,,,,,,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,,,,,29.66,,2.03,6.81,6.68,20.49,1.68,,1.85,,,7.92,,,8.3,5.72,12.68,,,6.19,,,21.46,10.11,,,,,,,,,,,,,
2017-08-05,,,,,,,,,,,,,,,,,,,34.95,,1.98,6.72,5.15,24.59,1.7,,1.94,,,7.4,,,7.44,5.87,12.71,,,6.12,,,35.14,11.77,,,,,,,,,,,,,
2017-08-06,,,,,,,,,,,,,,,,,,,52.38,,1.48,6.88,5.1,18.78,1.71,,1.99,,,7.84,,,7.27,6.01,13.26,,,6.27,,,16.27,5.7,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,,,,,,25.72,,1.5,6.82,5.86,20.1,1.75,,1.8,,,7.5,,,8.84,6.14,13.4,,,6.64,,,15.25,7.13,,,,,,,,,,,,,
2017-08-08,,,,,,,,,,,,,,,,,,,36.57,,1.5,6.82,6.2,17.49,1.74,,1.79,8.09,,9.21,,,9.64,7.13,18.45,,,6.54,,,8.82,10.06,,,,,,,,,,,,,
2017-08-09,,,,,,,,,,,,,,,,,,,54.85,,4.2,6.79,6.01,43.07,1.8,,1.88,6.074999999999999,,6.38,,,8.01,6.6,33.96,,,6.58,,,21.72,10.21,,,,,,,,,,,,,
2017-08-10,,,,,,,,,,,,,,,,,,,38.47,,3.12,6.54,6.43,26.2,1.77,,1.76,4.06,,2.96,,,7.78,3.0,17.79,,,6.57,,,9.26,13.61,,,,,,,,,,,,,
2017-08-11,,,,,,,,,,,,,,,,,,,24.86,,0.48,6.65,5.29,32.91,1.78,,1.9,5.08,,2.83,,,14.37,8.51,13.05,,,6.57,,,7.2,19.37,,,,,,,,,,,,,
2017-08-12,,,,,,,,,,,,,,,,,,,25.716666666666665,,0.41,6.77,5.12,19.97,2.3633333333333333,,2.03,5.87,,2.7,,,9.98,5.85,12.61,,,5.87,,,3.47,15.28,,,,,,,,,,,,,
2017-08-13,,,,,,,,,,,,,,,,,,,26.57333333333333,,0.42,6.75,5.48,27.36,2.9466666666666663,,1.97,6.22,,2.51,,,9.79,5.77,13.56,,,4.56,,,3.48,9.56,,,,,,,,,,,,,
2017-08-14,,,,,,,,,,,,,,,,,,,27.43,,0.26,6.47,5.51,22.83,3.53,,1.97,5.75,,2.61,,,9.58,2.25,14.13,,,4.39,,,15.22,12.81,,,,,,,,,,,,,
2017-08-15,,,,,,,,,,,,,,,,,,,13.21,,0.09,6.68,6.31,30.09,1.66,,1.74,3.79,,2.55,,,7.52,6.5,10.73,,,3.71,,,7.27,7.11,,,,,,,,,,,,,
2017-08-16,,,,,,,,,,,,,,,,,,,15.5,,0.4,6.89,5.12,18.8,1.84,,1.75,3.53,,2.68,,,7.18,5.92,10.33,,,3.54,,,5.1,6.61,,,,,,,,,,,,,
2017-08-17,,,,,,,,,,,,,,,,,,,20.73,,3.79,6.8,4.88,29.25,1.82,,1.83,6.22,,,,,7.15,5.39,11.33,,,3.65,,,5.08,1.94,,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,,,,,,,,22.87,,4.12,6.8525,4.83,20.46,1.78,,1.88,10.68,,,,,7.99,5.67,11.55,,,3.64,,,11.51,5.38,,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,,,,,,,,42.02,,4.03,6.905,4.9,27.9,1.77,,1.88,11.14,,,,,10.09,5.57,10.3,,,3.63,,,10.776666666666667,3.71,,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,,,,,,,,30.13,,3.76,6.9575000000000005,5.15,37.25,1.7,,1.91,11.5,,,,,6.43,5.21,9.05,,,3.62,,,10.043333333333337,2.89,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,,,,,,,18.02,,4.14,7.01,4.62,31.16,1.78,,1.57,11.48,,2.49,,,6.63,5.87,3.74,,,3.61,,,9.31,5.52,,,,,,,,,,,,,
2017-08-22,,,,,,,,,,,,,,,,,,,14.5,,4.14,6.08,5.43,27.07,1.71,,1.98,11.52,,2.42,,,10.61,8.39,11.45,,,5.31,,,18.49,5.79,,,,,,,,,,,,,
2017-08-23,,,,,,,,,,,,,,,,,,,31.42,,3.88,6.609999999999999,5.87,19.75,1.73,,1.88,10.77,,2.7,,,9.18,6.07,11.92,,,7.72,,,33.19,10.89,,,,,,,,,,,,,
2017-08-24,,,,,,,,,,,,,,,,,,,34.6,,3.97,7.14,7.34,25.75,1.65,,1.89,10.16,,2.84,,,7.08,1.58,11.13,,,3.82,,,33.15,5.64,,,,,,,,,,,,,
