Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2017-09-08,0.0,0.0,,,,,20.46,0.0,0.67,0.63,2.14,0.0,0.0
2017-09-09,0.0,0.0,,,,,21.03,0.0,0.18,0.38,0.75,0.0,0.0
2017-09-10,0.0,0.0,,,,,25.66,0.0,0.29,0.51,0.72,0.0,0.0
2017-09-11,0.0,0.0,,,,,18.18,0.0,0.4,0.34,0.53,0.0,0.0
2017-09-12,0.0,0.0,,,,,17.88,0.0,0.41,0.42,0.51,0.0,0.0
2017-09-13,0.0,0.0,,,,,18.2,0.0,0.78,0.48,3.1,0.0,0.0
2017-09-14,0.0,0.0,,,,,17.91,0.0,1.83,0.34,2.81,0.0,0.0
2017-09-15,0.0,0.0,,,,,19.6,0.0,0.68,0.32,7.62,0.0,0.0
2017-09-16,0.0,0.0,,,,,18.02,0.0,0.07,0.29,4.61,0.0,0.0
2017-09-17,0.0,0.0,,,,,15.68,0.0,0.0,0.22,1.87,0.0,0.0
2017-09-18,0.0,0.0,,,,,20.47,0.0,0.01,0.11,1.05,0.0,0.0
2017-09-19,0.0,0.0,,,,,16.76,0.0,0.0,0.1,0.2,0.0,0.0
2017-09-20,0.0,0.0,,,,,16.07,0.0,0.0,0.1,0.17,0.0,0.0
2017-09-21,0.0,0.0,,,,,15.93,0.0,0.0,0.1,0.24,0.0,0.0
2017-09-22,0.0,0.0,,,,,18.09,0.0,0.0,0.64,0.95,0.0,0.0
2017-09-23,0.0,0.0,,,,,14.53,0.0,0.0,0.48,2.67,0.0,0.0
2017-09-24,0.0,0.0,,,,,15.45,0.0,0.0,0.52,10.46,0.0,0.0
2017-09-25,0.0,0.0,,,,,17.17,0.0,0.0,0.61,3.62,0.0,0.0
2017-09-26,0.0,0.08,0.0,0.5,0.0,0.0,17.17,0.0,0.0,0.67,6.83,0.05,0.0
2017-09-27,0.0,0.09,0.0,0.47,0.0,0.0,17.16,0.0,0.0,0.69,21.99,0.0,0.0
2017-09-28,0.0,0.29,0.0,0.45,0.0,0.0,17.26,0.0,0.0,0.55,7.83,0.0,0.0
2017-09-29,0.0,0.02,0.0,0.52,0.0,0.0,17.29,0.0,0.0,0.47,1.68,0.0,0.0
2017-09-30,0.0,0.03,0.0,0.44,0.0,,24.69,0.0,0.0,0.36,1.48,0.0,0.0
2017-10-01,0.36,0.12,0.0,0.44,0.0,,6.61,0.02,1.9,0.12,0.55,0.22,0.0
2017-10-02,0.14,0.11,0.0,0.43,0.0,,2.34,0.0,0.67,0.06,0.29,0.42,0.0
2017-10-03,0.41,0.12,0.0,0.41,0.0,,2.21,0.02,2.11,0.19,0.53,0.32,1.02
2017-10-04,1.28,0.24,0.0,0.36,0.0,,5.67,0.05,9.3,0.25,1.16,0.69,0.53
2017-10-05,0.11,0.19,0.0,0.36,0.0,,3.03,0.03,7.66,0.18,0.78,0.78,24.46
2017-10-06,0.56,0.17,0.0,0.52,0.0,,4.69,0.0,4.88,0.1,0.05,0.28,2.36
